zinc_id,smiles
ZINC000064559000,CCN1CCN(Cc2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000064559336,CCN1CCN(/C(=N\O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000096173745,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(/C(=N/O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000096173748,CCCCN1CCN(/C(=N\O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000096173749,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(/C(=N/O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000096173750,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(/C(=N/O)N4CCN(C5CCCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000096173754,CCN1CCN([C@@H](CO)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000096173755,CCN1CCN([C@H](CO)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000100628892,CCN1CCN(/C(=N\O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2F)[C@@H](C)C1
ZINC000143245662,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000143246101,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000143275112,CCN1CCN(C(=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000143326789,CCN1CCN(Cc2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000143351099,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(CN4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000143378258,CCN1CCN(Cc2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2F)CC1
ZINC000149648723,CCCCN1CCN(/C(=N/O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000167610621,CCN1CCN(C(=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000167611127,CCN1CCN([C@@H](C)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000167611228,CCN1CCN([C@H](C)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000169694508,CCN1CCN([C@@H](N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2F)[C@@H](C)C1
ZINC000169694515,CCN1CCN([C@@H](N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000169694516,CCN1CCN([C@H](N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1
ZINC000169694523,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@H](N=O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000169694524,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@H](N=O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000169694529,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@H](N=O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000169694530,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@H](N=O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000169694531,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@H](N=O)N4CCN(C5CCCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000169694532,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@H](N=O)N4CCN(C5CCCCCC5)CC4)cc3)NC(=O)NC1=O)C2
ZINC000261146834,CCN1CCN([C@H](N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2F)[C@@H](C)C1
